Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users5.json,NSGA-II,uniform_inversion_high_mutation,17,0.8377247066671304,8556.794014692307,296,20,20,6871.083500000001,3512639.9545000023
users5.json,NSGA-II,uniform_inversion_high_mutation,18,0.3723426511394703,3192.51029419899,114,20,20,8048.788000000002,3365410.698000005
users5.json,NSGA-II,uniform_inversion_high_mutation,19,0.4948061174438356,7016.427848100662,224,16,16,7735.17,3437252.768125003
users5.json,NSGA-II,uniform_inversion_high_mutation,20,0.3008206338438668,3477.828689813614,88,16,16,8092.131875000001,3268506.356875001
users5.json,NSGA-II,uniform_inversion_high_mutation,21,0.3607241669843807,4982.923211336136,133,12,12,8162.7975000000015,3376222.8833333347
users5.json,NSGA-II,uniform_inversion_high_mutation,22,0.7422407913266706,8158.043447494507,244,19,19,7351.822105263159,3536302.448947364
users5.json,NSGA-II,uniform_inversion_high_mutation,23,0.4951006289546946,6173.537774562836,184,17,17,7616.645294117648,3393550.68705883
users5.json,NSGA-II,uniform_inversion_high_mutation,24,0.33263099124217965,4317.964674472809,131,12,12,8128.605833333335,3361592.8633333333
users5.json,NSGA-II,uniform_inversion_high_mutation,25,0.4010270893420895,6341.611141681671,190,21,21,7897.9704761904795,3378873.4852380995
users5.json,NSGA-II,uniform_inversion_high_mutation,26,0.608731696926361,6641.891177177429,213,12,12,7614.570000000002,3490310.1875000005
users5.json,NSGA-II,uniform_inversion_high_mutation,27,0.5305455627709595,5895.097207546234,197,17,17,7462.468235294119,3338395.987647066
users5.json,NSGA-II,uniform_inversion_high_mutation,28,0.39346129893809334,3815.9829652309418,125,11,11,7944.066363636364,3352377.398181813
users5.json,NSGA-II,uniform_inversion_high_mutation,29,0.47541711931403785,6316.825767755508,204,27,27,7612.122592592595,3365538.0259259306
users5.json,NSGA-II,uniform_inversion_high_mutation,30,0.6029321220341324,7106.840957164764,225,10,10,7441.954000000001,3474698.513000003
users5.json,NSGA-II,uniform_inversion_high_mutation,31,0.39768762931526436,4804.379190683365,152,19,19,8110.694736842106,3393247.3873684187
users1.json,SPEA2,uniform_inversion_high_mutation,1,0.19787924191656503,93.23097658157349,40,1,1,1325.8799999999997,493515.3999999997
users1.json,SPEA2,uniform_inversion_high_mutation,2,0.39899526983462835,170.53770232200623,74,4,4,1231.0749999999998,512548.33499999926
users1.json,SPEA2,uniform_inversion_high_mutation,3,0.6419576376778795,565.1650705337524,264,24,24,1089.9929166666666,497950.2579166651
users1.json,SPEA2,uniform_inversion_high_mutation,4,0.32975368133222094,265.77051401138306,130,13,13,1292.110769230769,495715.6192307685
users1.json,SPEA2,uniform_inversion_high_mutation,5,0.5608788914839195,180.67165780067444,89,8,8,1103.9837499999999,502749.6462499988
users1.json,SPEA2,uniform_inversion_high_mutation,6,0.4712790908885284,427.76924204826355,206,28,28,1314.4582142857141,507907.16214285593
users1.json,SPEA2,uniform_inversion_high_mutation,7,0.44051974924722126,195.7630341053009,89,9,9,1198.6766666666667,502560.21888888883
users1.json,SPEA2,uniform_inversion_high_mutation,8,0.5257724866958557,315.7622573375702,148,3,3,1141.32,508634.77333333297
users1.json,SPEA2,uniform_inversion_high_mutation,9,0.28266380579342026,196.35054850578308,95,9,9,1282.0566666666666,491017.7033333325
users1.json,SPEA2,uniform_inversion_high_mutation,10,0.35112955835279536,110.7605516910553,55,5,5,1237.2500000000002,496294.71999999974
users1.json,SPEA2,uniform_inversion_high_mutation,11,0.6262767758300645,342.19312381744385,158,17,17,1150.0617647058825,517406.216470588
